GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
Rest of Qld	55-64		M	13248
Rest of Qld	55-64	0	F	152940
Rest of Qld	55-64	0	M	142089
Rest of Qld	55-64	1	F	10427
Rest of Qld	55-64	1	M	9862
Rest of Qld	65-74		F	8233
Rest of Qld	65-74		M	9533
Rest of Qld	65-74	0	F	123357
Rest of Qld	65-74	0	M	118348
Rest of Qld	65-74	1	F	13478
Rest of Qld	65-74	1	M	14216
Rest of Qld	75-84		F	5629
Rest of Qld	75-84		M	5356
Rest of Qld	75-84	0	F	58320
Rest of Qld	75-84	0	M	56943
Rest of Qld	75-84	1	F	17753
Rest of Qld	75-84	1	M	14531
Rest of Qld	85+		F	3519
Rest of Qld	85+		M	2212
Rest of Qld	85+	0	F	11933
Rest of Qld	85+	0	M	10670
Rest of Qld	85+	1	F	16876
Rest of Qld	85+	1	M	9000
No usual address (SA)	0-4		F	8
No usual address (SA)	0-4		M	16
No usual address (SA)	0-4	0	F	49
No usual address (SA)	0-4	0	M	59
No usual address (SA)	0-4	1	M	8
No usual address (SA)	5-14		F	28
No usual address (SA)	5-14		M	28
No usual address (SA)	5-14	0	F	106
No usual address (SA)	5-14	0	M	85
No usual address (SA)	5-14	1	F	4
No usual address (SA)	5-14	1	M	10
No usual address (SA)	15-19		F	19
No usual address (SA)	15-19		M	14
No usual address (SA)	15-19	0	F	88
No usual address (SA)	15-19	0	M	58
No usual address (SA)	15-19	1	F	7
No usual address (SA)	20-24		F	16
No usual address (SA)	20-24		M	19
No usual address (SA)	20-24	0	F	72
No usual address (SA)	20-24	0	M	85
No usual address (SA)	20-24	1	F	6
No usual address (SA)	20-24	1	M	3
No usual address (SA)	25-34		F	71
No usual address (SA)	25-34		M	87
No usual address (SA)	25-34	0	F	213
No usual address (SA)	25-34	0	M	225
No usual address (SA)	25-34	1	F	15
No usual address (SA)	25-34	1	M	13
No usual address (SA)	35-44		F	78
No usual address (SA)	35-44		M	84
No usual address (SA)	35-44	0	F	154
No usual address (SA)	35-44	0	M	195
No usual address (SA)	35-44	1	F	10
No usual address (SA)	35-44	1	M	9
No usual address (SA)	45-54		F	46
No usual address (SA)	45-54		M	94
No usual address (SA)	45-54	0	F	123
No usual address (SA)	45-54	0	M	188
No usual address (SA)	45-54	1	F	12
No usual address (SA)	45-54	1	M	19
No usual address (SA)	55-64		F	28
No usual address (SA)	55-64		M	103
No usual address (SA)	55-64	0	F	161
No usual address (SA)	55-64	0	M	193
No usual address (SA)	55-64	1	F	15
No usual address (SA)	55-64	1	M	20
No usual address (SA)	65-74		F	19
No usual address (SA)	65-74		M	45
