GCCSA_NAME21	Landlord	Rent.min	occupied_private_dwellings_being_rented
Greater Perth	(Other)	23625	432
Greater Perth	(Other)	28875	105
Greater Perth	(Other)	34125	52
Greater Perth	(Other)	39375	40
Greater Perth	(Other)	44625	26
Greater Perth	(Other)	49875	48
Greater Perth	Co-op/church group etc	52	82
Greater Perth	Co-op/church group etc	3937	147
Greater Perth	Co-op/church group etc	5250	613
Greater Perth	Co-op/church group etc	7875	1389
Greater Perth	Co-op/church group etc	10500	381
Greater Perth	Co-op/church group etc	11812	553
Greater Perth	Co-op/church group etc	14437	384
Greater Perth	Co-op/church group etc	18375	290
Greater Perth	Co-op/church group etc	23625	63
Greater Perth	Co-op/church group etc	28875	11
Greater Perth	Co-op/church group etc	34125	15
Greater Perth	Co-op/church group etc	39375	4
Greater Perth	Co-op/church group etc	44625	5
Greater Perth	Co-op/church group etc	49875	4
Greater Perth	Person not in same household	52	250
