GCCSA_NAME21	Age	HoursHousekeeping	Sex	adults
Migratory - Offshore - Shipping (WA)	25-34		F	4
Migratory - Offshore - Shipping (WA)	25-34		M	44
Migratory - Offshore - Shipping (WA)	25-34	0	F	8
Migratory - Offshore - Shipping (WA)	25-34	0	M	46
Migratory - Offshore - Shipping (WA)	25-34	<5	F	3
Migratory - Offshore - Shipping (WA)	25-34	<5	M	4
Migratory - Offshore - Shipping (WA)	25-34	5-14	M	3
Migratory - Offshore - Shipping (WA)	35-44		F	3
Migratory - Offshore - Shipping (WA)	35-44		M	68
Migratory - Offshore - Shipping (WA)	35-44	0	F	3
Migratory - Offshore - Shipping (WA)	35-44	0	M	57
Migratory - Offshore - Shipping (WA)	35-44	<5	M	14
Migratory - Offshore - Shipping (WA)	35-44	5-14	M	7
Migratory - Offshore - Shipping (WA)	35-44	15-29	M	3
Migratory - Offshore - Shipping (WA)	35-44	30+	M	9
Migratory - Offshore - Shipping (WA)	45-54		F	8
Migratory - Offshore - Shipping (WA)	45-54		M	46
Migratory - Offshore - Shipping (WA)	45-54	0	F	5
Migratory - Offshore - Shipping (WA)	45-54	0	M	47
Migratory - Offshore - Shipping (WA)	45-54	<5	M	5
Migratory - Offshore - Shipping (WA)	45-54	5-14	M	4
Migratory - Offshore - Shipping (WA)	55-64		M	20
Migratory - Offshore - Shipping (WA)	55-64	0	M	23
Migratory - Offshore - Shipping (WA)	55-64	5-14	M	3
Migratory - Offshore - Shipping (WA)	55-64	15-29	F	3
Migratory - Offshore - Shipping (WA)	55-64	15-29	M	5
Migratory - Offshore - Shipping (WA)	55-64	30+	M	4
Migratory - Offshore - Shipping (WA)	65-74		M	4
Migratory - Offshore - Shipping (WA)	65-74	0	M	6
Greater Perth	15-19		F	2730
Greater Perth	15-19		M	2949
Greater Perth	15-19	0	F	21819
Greater Perth	15-19	0	M	26641
Greater Perth	15-19	<5	F	27952
Greater Perth	15-19	<5	M	28228
Greater Perth	15-19	5-14	F	6677
Greater Perth	15-19	5-14	M	4736
Greater Perth	15-19	15-29	F	700
Greater Perth	15-19	15-29	M	381
Greater Perth	15-19	30+	F	299
Greater Perth	15-19	30+	M	205
Greater Perth	20-24		F	3518
Greater Perth	20-24		M	4655
Greater Perth	20-24	0	F	19125
Greater Perth	20-24	0	M	27510
Greater Perth	20-24	<5	F	22905
Greater Perth	20-24	<5	M	23488
Greater Perth	20-24	5-14	F	15258
Greater Perth	20-24	5-14	M	9924
Greater Perth	20-24	15-29	F	2810
Greater Perth	20-24	15-29	M	1189
Greater Perth	20-24	30+	F	1736
Greater Perth	20-24	30+	M	517
Greater Perth	25-34		F	8717
Greater Perth	25-34		M	12759
Greater Perth	25-34	0	F	31193
Greater Perth	25-34	0	M	45621
Greater Perth	25-34	<5	F	29501
Greater Perth	25-34	<5	M	42979
Greater Perth	25-34	5-14	F	46774
Greater Perth	25-34	5-14	M	38366
Greater Perth	25-34	15-29	F	17843
Greater Perth	25-34	15-29	M	6589
Greater Perth	25-34	30+	F	20612
Greater Perth	25-34	30+	M	2938
Greater Perth	35-44		F	7063
Greater Perth	35-44		M	11591
Greater Perth	35-44	0	F	22455
Greater Perth	35-44	0	M	35028
Greater Perth	35-44	<5	F	16836
Greater Perth	35-44	<5	M	38422
Greater Perth	35-44	5-14	F	47352
Greater Perth	35-44	5-14	M	49252
Greater Perth	35-44	15-29	F	30099
Greater Perth	35-44	15-29	M	12258
Greater Perth	35-44	30+	F	31261
Greater Perth	35-44	30+	M	5309
Greater Perth	45-54		F	5709
Greater Perth	45-54		M	9375
Greater Perth	45-54	0	F	19920
Greater Perth	45-54	0	M	31059
Greater Perth	45-54	<5	F	16066
Greater Perth	45-54	<5	M	35338
Greater Perth	45-54	5-14	F	49683
Greater Perth	45-54	5-14	M	45072
Greater Perth	45-54	15-29	F	28046
Greater Perth	45-54	15-29	M	10521
Greater Perth	45-54	30+	F	19330
Greater Perth	45-54	30+	M	4455
Greater Perth	55-64		F	4784
Greater Perth	55-64		M	6961
Greater Perth	55-64	0	F	22210
Greater Perth	55-64	0	M	29931
Greater Perth	55-64	<5	F	14247
Greater Perth	55-64	<5	M	29047
Greater Perth	55-64	5-14	F	41228
Greater Perth	55-64	5-14	M	37360
Greater Perth	55-64	15-29	F	24150
Greater Perth	55-64	15-29	M	9488
Greater Perth	55-64	30+	F	16522
Greater Perth	55-64	30+	M	4259
Greater Perth	65-74		F	4458
Greater Perth	65-74		M	4466
Greater Perth	65-74	0	F	24358
Greater Perth	65-74	0	M	26065
Greater Perth	65-74	<5	F	7918
Greater Perth	65-74	<5	M	16746
Greater Perth	65-74	5-14	F	24005
Greater Perth	65-74	5-14	M	26917
Greater Perth	65-74	15-29	F	20913
Greater Perth	65-74	15-29	M	10951
Greater Perth	65-74	30+	F	17656
Greater Perth	65-74	30+	M	5501
Greater Perth	75-84		F	4273
Greater Perth	75-84		M	3326
Greater Perth	75-84	0	F	18084
Greater Perth	75-84	0	M	16695
Greater Perth	75-84	<5	F	4755
Greater Perth	75-84	<5	M	7329
Greater Perth	75-84	5-14	F	10453
Greater Perth	75-84	5-14	M	11579
Greater Perth	75-84	15-29	F	8975
Greater Perth	75-84	15-29	M	5703
Greater Perth	75-84	30+	F	8455
Greater Perth	75-84	30+	M	3476
Greater Perth	85+		F	3583
Greater Perth	85+		M	2004
Greater Perth	85+	0	F	12116
Greater Perth	85+	0	M	7118
Greater Perth	85+	<5	F	2674
Greater Perth	85+	<5	M	2057
Greater Perth	85+	5-14	F	3417
Greater Perth	85+	5-14	M	2555
Greater Perth	85+	15-29	F	1861
Greater Perth	85+	15-29	M	1186
Greater Perth	85+	30+	F	1387
Greater Perth	85+	30+	M	869
Rest of WA	15-19		F	1547
Rest of WA	15-19		M	1724
Rest of WA	15-19	0	F	4355
Rest of WA	15-19	0	M	5901
Rest of WA	15-19	<5	F	6070
Rest of WA	15-19	<5	M	6193
Rest of WA	15-19	5-14	F	1888
Rest of WA	15-19	5-14	M	1347
Rest of WA	15-19	15-29	F	275
Rest of WA	15-19	15-29	M	165
Rest of WA	15-19	30+	F	121
Rest of WA	15-19	30+	M	92
Rest of WA	20-24		F	1405
Rest of WA	20-24		M	1931
Rest of WA	20-24	0	F	2967
Rest of WA	20-24	0	M	4666
Rest of WA	20-24	<5	F	2942
Rest of WA	20-24	<5	M	4117
Rest of WA	20-24	5-14	F	3230
Rest of WA	20-24	5-14	M	2223
Rest of WA	20-24	15-29	F	862
Rest of WA	20-24	15-29	M	423
Rest of WA	20-24	30+	F	675
Rest of WA	20-24	30+	M	157
Rest of WA	25-34		F	3629
Rest of WA	25-34		M	5645
Rest of WA	25-34	0	F	5158
Rest of WA	25-34	0	M	8773
Rest of WA	25-34	<5	F	4628
Rest of WA	25-34	<5	M	8589
Rest of WA	25-34	5-14	F	9161
Rest of WA	25-34	5-14	M	8131
Rest of WA	25-34	15-29	F	4390
Rest of WA	25-34	15-29	M	1755
Rest of WA	25-34	30+	F	6071
Rest of WA	25-34	30+	M	887
Rest of WA	35-44		F	3458
Rest of WA	35-44		M	5467
Rest of WA	35-44	0	F	3746
Rest of WA	35-44	0	M	7000
Rest of WA	35-44	<5	F	3132
Rest of WA	35-44	<5	M	8493
Rest of WA	35-44	5-14	F	10468
Rest of WA	35-44	5-14	M	10496
Rest of WA	35-44	15-29	F	6932
Rest of WA	35-44	15-29	M	2898
Rest of WA	35-44	30+	F	7342
Rest of WA	35-44	30+	M	1434
Rest of WA	45-54		F	3237
Rest of WA	45-54		M	5198
Rest of WA	45-54	0	F	4338
Rest of WA	45-54	0	M	7904
Rest of WA	45-54	<5	F	3845
Rest of WA	45-54	<5	M	8715
Rest of WA	45-54	5-14	F	12360
Rest of WA	45-54	5-14	M	10947
Rest of WA	45-54	15-29	F	6895
Rest of WA	45-54	15-29	M	2876
Rest of WA	45-54	30+	F	4605
Rest of WA	45-54	30+	M	1335
Rest of WA	55-64		F	2941
Rest of WA	55-64		M	4320
Rest of WA	55-64	0	F	5509
Rest of WA	55-64	0	M	8817
Rest of WA	55-64	<5	F	3551
Rest of WA	55-64	<5	M	8447
Rest of WA	55-64	5-14	F	11027
Rest of WA	55-64	5-14	M	10496
Rest of WA	55-64	15-29	F	6956
Rest of WA	55-64	15-29	M	3088
Rest of WA	55-64	30+	F	5222
Rest of WA	55-64	30+	M	1681
Rest of WA	65-74		F	2292
Rest of WA	65-74		M	2758
Rest of WA	65-74	0	F	5891
Rest of WA	65-74	0	M	7787
Rest of WA	65-74	<5	F	1919
Rest of WA	65-74	<5	M	5103
Rest of WA	65-74	5-14	F	5886
Rest of WA	65-74	5-14	M	7629
Rest of WA	65-74	15-29	F	5693
Rest of WA	65-74	15-29	M	3508
Rest of WA	65-74	30+	F	5812
Rest of WA	65-74	30+	M	2380
Rest of WA	75-84		F	1548
Rest of WA	75-84		M	1509
Rest of WA	75-84	0	F	4154
Rest of WA	75-84	0	M	4441
Rest of WA	75-84	<5	F	1118
Rest of WA	75-84	<5	M	2025
Rest of WA	75-84	5-14	F	2360
Rest of WA	75-84	5-14	M	2966
Rest of WA	75-84	15-29	F	2237
Rest of WA	75-84	15-29	M	1634
Rest of WA	75-84	30+	F	2587
Rest of WA	75-84	30+	M	1292
Rest of WA	85+		F	857
Rest of WA	85+		M	570
Rest of WA	85+	0	F	2405
Rest of WA	85+	0	M	1584
Rest of WA	85+	<5	F	576
Rest of WA	85+	<5	M	483
Rest of WA	85+	5-14	F	715
Rest of WA	85+	5-14	M	597
Rest of WA	85+	15-29	F	446
Rest of WA	85+	15-29	M	334
Rest of WA	85+	30+	F	398
Rest of WA	85+	30+	M	267
No usual address (Tas.)	15-19		F	10
No usual address (Tas.)	15-19		M	9
No usual address (Tas.)	15-19	0	F	20
No usual address (Tas.)	15-19	0	M	20
No usual address (Tas.)	15-19	<5	F	11
No usual address (Tas.)	15-19	<5	M	10
No usual address (Tas.)	15-19	5-14	F	3
No usual address (Tas.)	15-19	5-14	M	4
No usual address (Tas.)	15-19	15-29	F	5
No usual address (Tas.)	20-24		F	7
No usual address (Tas.)	20-24		M	9
No usual address (Tas.)	20-24	0	F	21
No usual address (Tas.)	20-24	0	M	22
No usual address (Tas.)	20-24	<5	F	13
No usual address (Tas.)	20-24	<5	M	14
No usual address (Tas.)	20-24	5-14	F	8
No usual address (Tas.)	20-24	5-14	M	19
No usual address (Tas.)	20-24	15-29	F	4
No usual address (Tas.)	20-24	15-29	M	3
No usual address (Tas.)	20-24	30+	F	3
No usual address (Tas.)	20-24	30+	M	4
No usual address (Tas.)	25-34		F	11
No usual address (Tas.)	25-34		M	40
No usual address (Tas.)	25-34	0	F	29
No usual address (Tas.)	25-34	0	M	44
No usual address (Tas.)	25-34	<5	F	19
No usual address (Tas.)	25-34	<5	M	28
No usual address (Tas.)	25-34	5-14	F	15
No usual address (Tas.)	25-34	5-14	M	14
No usual address (Tas.)	25-34	15-29	F	9
No usual address (Tas.)	25-34	15-29	M	6
No usual address (Tas.)	25-34	30+	F	8
No usual address (Tas.)	35-44		F	21
No usual address (Tas.)	35-44		M	29
No usual address (Tas.)	35-44	0	F	16
No usual address (Tas.)	35-44	0	M	24
No usual address (Tas.)	35-44	<5	F	14
No usual address (Tas.)	35-44	<5	M	25
No usual address (Tas.)	35-44	5-14	F	19
No usual address (Tas.)	35-44	5-14	M	11
No usual address (Tas.)	35-44	15-29	F	15
No usual address (Tas.)	35-44	15-29	M	9
No usual address (Tas.)	35-44	30+	F	9
No usual address (Tas.)	35-44	30+	M	9
No usual address (Tas.)	45-54		F	17
No usual address (Tas.)	45-54		M	26
No usual address (Tas.)	45-54	0	F	14
No usual address (Tas.)	45-54	0	M	48
No usual address (Tas.)	45-54	<5	F	14
No usual address (Tas.)	45-54	<5	M	27
No usual address (Tas.)	45-54	5-14	F	29
No usual address (Tas.)	45-54	5-14	M	16
No usual address (Tas.)	45-54	15-29	M	4
No usual address (Tas.)	55-64		F	27
No usual address (Tas.)	55-64		M	38
No usual address (Tas.)	55-64	0	F	19
No usual address (Tas.)	55-64	0	M	28
No usual address (Tas.)	55-64	<5	F	15
No usual address (Tas.)	55-64	<5	M	14
No usual address (Tas.)	55-64	5-14	F	26
No usual address (Tas.)	55-64	5-14	M	14
No usual address (Tas.)	55-64	15-29	F	8
No usual address (Tas.)	55-64	15-29	M	6
No usual address (Tas.)	55-64	30+	F	3
No usual address (Tas.)	55-64	30+	M	4
No usual address (Tas.)	65-74		F	32
No usual address (Tas.)	65-74		M	46
No usual address (Tas.)	65-74	0	F	14
No usual address (Tas.)	65-74	0	M	17
No usual address (Tas.)	65-74	<5	M	5
No usual address (Tas.)	65-74	5-14	F	16
No usual address (Tas.)	65-74	5-14	M	15
No usual address (Tas.)	65-74	15-29	F	7
No usual address (Tas.)	65-74	15-29	M	9
No usual address (Tas.)	75-84		F	4
No usual address (Tas.)	75-84		M	9
No usual address (Tas.)	75-84	0	F	5
No usual address (Tas.)	75-84	0	M	6
No usual address (Tas.)	75-84	<5	M	5
No usual address (Tas.)	75-84	5-14	F	3
No usual address (Tas.)	75-84	5-14	M	3
Migratory - Offshore - Shipping (Tas.)	35-44	0	M	3
Migratory - Offshore - Shipping (Tas.)	45-54	0	M	3
Greater Hobart	15-19		F	355
Greater Hobart	15-19		M	368
Greater Hobart	15-19	0	F	2224
Greater Hobart	15-19	0	M	2757
Greater Hobart	15-19	<5	F	3079
Greater Hobart	15-19	<5	M	3220
Greater Hobart	15-19	5-14	F	672
Greater Hobart	15-19	5-14	M	480
Greater Hobart	15-19	15-29	F	71
Greater Hobart	15-19	15-29	M	36
Greater Hobart	15-19	30+	F	42
Greater Hobart	15-19	30+	M	14
Greater Hobart	20-24		F	352
Greater Hobart	20-24		M	405
Greater Hobart	20-24	0	F	1917
Greater Hobart	20-24	0	M	2835
Greater Hobart	20-24	<5	F	2568
Greater Hobart	20-24	<5	M	2751
Greater Hobart	20-24	5-14	F	1899
Greater Hobart	20-24	5-14	M	1256
Greater Hobart	20-24	15-29	F	393
Greater Hobart	20-24	15-29	M	173
Greater Hobart	20-24	30+	F	215
Greater Hobart	20-24	30+	M	61
Greater Hobart	25-34		F	996
Greater Hobart	25-34		M	1240
Greater Hobart	25-34	0	F	4456
Greater Hobart	25-34	0	M	6194
Greater Hobart	25-34	<5	F	3760
Greater Hobart	25-34	<5	M	5587
Greater Hobart	25-34	5-14	F	6096
Greater Hobart	25-34	5-14	M	5352
Greater Hobart	25-34	15-29	F	2409
Greater Hobart	25-34	15-29	M	1059
Greater Hobart	25-34	30+	F	2119
Greater Hobart	25-34	30+	M	488
Greater Hobart	35-44		F	711
Greater Hobart	35-44		M	910
Greater Hobart	35-44	0	F	1828
Greater Hobart	35-44	0	M	2909
Greater Hobart	35-44	<5	F	2027
Greater Hobart	35-44	<5	M	3892
Greater Hobart	35-44	5-14	F	5632
Greater Hobart	35-44	5-14	M	5506
Greater Hobart	35-44	15-29	F	3415
Greater Hobart	35-44	15-29	M	1594
Greater Hobart	35-44	30+	F	2642
Greater Hobart	35-44	30+	M	601
Greater Hobart	45-54		F	576
Greater Hobart	45-54		M	738
Greater Hobart	45-54	0	F	1842
Greater Hobart	45-54	0	M	2536
Greater Hobart	45-54	<5	F	1915
Greater Hobart	45-54	<5	M	3619
Greater Hobart	45-54	5-14	F	6200
Greater Hobart	45-54	5-14	M	5432
Greater Hobart	45-54	15-29	F	3247
Greater Hobart	45-54	15-29	M	1406
Greater Hobart	45-54	30+	F	1654
Greater Hobart	45-54	30+	M	484
Greater Hobart	55-64		F	596
Greater Hobart	55-64		M	647
Greater Hobart	55-64	0	F	2577
Greater Hobart	55-64	0	M	3152
Greater Hobart	55-64	<5	F	1941
Greater Hobart	55-64	<5	M	3405
Greater Hobart	55-64	5-14	F	5695
Greater Hobart	55-64	5-14	M	4982
Greater Hobart	55-64	15-29	F	3121
Greater Hobart	55-64	15-29	M	1438
Greater Hobart	55-64	30+	F	1731
Greater Hobart	55-64	30+	M	641
Greater Hobart	65-74		F	678
Greater Hobart	65-74		M	613
Greater Hobart	65-74	0	F	3055
Greater Hobart	65-74	0	M	3219
Greater Hobart	65-74	<5	F	1122
Greater Hobart	65-74	<5	M	2177
Greater Hobart	65-74	5-14	F	3587
Greater Hobart	65-74	5-14	M	3798
Greater Hobart	65-74	15-29	F	3135
Greater Hobart	65-74	15-29	M	1674
Greater Hobart	65-74	30+	F	2228
Greater Hobart	65-74	30+	M	861
Greater Hobart	75-84		F	578
Greater Hobart	75-84		M	463
Greater Hobart	75-84	0	F	2695
Greater Hobart	75-84	0	M	2164
Greater Hobart	75-84	<5	F	651
Greater Hobart	75-84	<5	M	991
Greater Hobart	75-84	5-14	F	1610
Greater Hobart	75-84	5-14	M	1616
Greater Hobart	75-84	15-29	F	1297
Greater Hobart	75-84	15-29	M	787
Greater Hobart	75-84	30+	F	1185
Greater Hobart	75-84	30+	M	546
Greater Hobart	85+		F	343
Greater Hobart	85+		M	198
Greater Hobart	85+	0	F	1807
Greater Hobart	85+	0	M	993
Greater Hobart	85+	<5	F	408
Greater Hobart	85+	<5	M	270
Greater Hobart	85+	5-14	F	484
Greater Hobart	85+	5-14	M	375
Greater Hobart	85+	15-29	F	260
Greater Hobart	85+	15-29	M	163
Greater Hobart	85+	30+	F	216
Greater Hobart	85+	30+	M	124
Rest of Tas.	15-19		F	543
Rest of Tas.	15-19		M	677
Rest of Tas.	15-19	0	F	2814
Rest of Tas.	15-19	0	M	3634
Rest of Tas.	15-19	<5	F	3573
Rest of Tas.	15-19	<5	M	3540
Rest of Tas.	15-19	5-14	F	926
Rest of Tas.	15-19	5-14	M	657
Rest of Tas.	15-19	15-29	F	130
Rest of Tas.	15-19	15-29	M	74
Rest of Tas.	15-19	30+	F	57
Rest of Tas.	15-19	30+	M	34
Rest of Tas.	20-24		F	484
Rest of Tas.	20-24		M	569
Rest of Tas.	20-24	0	F	2143
Rest of Tas.	20-24	0	M	3174
Rest of Tas.	20-24	<5	F	2213
Rest of Tas.	20-24	<5	M	2778
Rest of Tas.	20-24	5-14	F	2083
Rest of Tas.	20-24	5-14	M	1436
Rest of Tas.	20-24	15-29	F	479
Rest of Tas.	20-24	15-29	M	199
Rest of Tas.	20-24	30+	F	423
Rest of Tas.	20-24	30+	M	108
Rest of Tas.	25-34		F	1057
Rest of Tas.	25-34		M	1215
Rest of Tas.	25-34	0	F	3207
Rest of Tas.	25-34	0	M	5152
Rest of Tas.	25-34	<5	F	2583
Rest of Tas.	25-34	<5	M	5131
Rest of Tas.	25-34	5-14	F	5701
Rest of Tas.	25-34	5-14	M	5088
Rest of Tas.	25-34	15-29	F	2839
Rest of Tas.	25-34	15-29	M	1158
Rest of Tas.	25-34	30+	F	2983
Rest of Tas.	25-34	30+	M	567
Rest of Tas.	35-44		F	946
Rest of Tas.	35-44		M	1066
Rest of Tas.	35-44	0	F	1934
Rest of Tas.	35-44	0	M	3187
Rest of Tas.	35-44	<5	F	1630
Rest of Tas.	35-44	<5	M	4042
Rest of Tas.	35-44	5-14	F	5753
Rest of Tas.	35-44	5-14	M	5560
Rest of Tas.	35-44	15-29	F	3894
Rest of Tas.	35-44	15-29	M	1718
Rest of Tas.	35-44	30+	F	3550
Rest of Tas.	35-44	30+	M	814
Rest of Tas.	45-54		F	994
Rest of Tas.	45-54		M	1167
Rest of Tas.	45-54	0	F	2752
Rest of Tas.	45-54	0	M	4139
Rest of Tas.	45-54	<5	F	2192
Rest of Tas.	45-54	<5	M	4616
Rest of Tas.	45-54	5-14	F	7372
Rest of Tas.	45-54	5-14	M	6393
Rest of Tas.	45-54	15-29	F	4294
Rest of Tas.	45-54	15-29	M	1768
Rest of Tas.	45-54	30+	F	2750
Rest of Tas.	45-54	30+	M	900
Rest of Tas.	55-64		F	1184
Rest of Tas.	55-64		M	1315
Rest of Tas.	55-64	0	F	4073
Rest of Tas.	55-64	0	M	5555
Rest of Tas.	55-64	<5	F	2262
Rest of Tas.	55-64	<5	M	4937
Rest of Tas.	55-64	5-14	F	7477
Rest of Tas.	55-64	5-14	M	6729
Rest of Tas.	55-64	15-29	F	4866
Rest of Tas.	55-64	15-29	M	2266
Rest of Tas.	55-64	30+	F	3395
Rest of Tas.	55-64	30+	M	1193
Rest of Tas.	65-74		F	1255
Rest of Tas.	65-74		M	1376
Rest of Tas.	65-74	0	F	5016
Rest of Tas.	65-74	0	M	5838
Rest of Tas.	65-74	<5	F	1342
Rest of Tas.	65-74	<5	M	3141
Rest of Tas.	65-74	5-14	F	4407
Rest of Tas.	65-74	5-14	M	5352
Rest of Tas.	65-74	15-29	F	4425
Rest of Tas.	65-74	15-29	M	2753
Rest of Tas.	65-74	30+	F	4012
Rest of Tas.	65-74	30+	M	1770
Rest of Tas.	75-84		F	1057
Rest of Tas.	75-84		M	892
Rest of Tas.	75-84	0	F	4090
Rest of Tas.	75-84	0	M	3804
Rest of Tas.	75-84	<5	F	794
Rest of Tas.	75-84	<5	M	1333
Rest of Tas.	75-84	5-14	F	1807
Rest of Tas.	75-84	5-14	M	2244
Rest of Tas.	75-84	15-29	F	1697
Rest of Tas.	75-84	15-29	M	1280
Rest of Tas.	75-84	30+	F	1920
Rest of Tas.	75-84	30+	M	1092
Rest of Tas.	85+		F	547
Rest of Tas.	85+		M	398
Rest of Tas.	85+	0	F	2326
Rest of Tas.	85+	0	M	1384
Rest of Tas.	85+	<5	F	412
Rest of Tas.	85+	<5	M	335
Rest of Tas.	85+	5-14	F	556
Rest of Tas.	85+	5-14	M	428
Rest of Tas.	85+	15-29	F	328
Rest of Tas.	85+	15-29	M	221
Rest of Tas.	85+	30+	F	255
Rest of Tas.	85+	30+	M	178
No usual address (NT)	15-19		F	28
No usual address (NT)	15-19		M	14
No usual address (NT)	15-19	0	F	7
No usual address (NT)	15-19	0	M	4
No usual address (NT)	15-19	<5	F	14
No usual address (NT)	15-19	<5	M	14
No usual address (NT)	15-19	5-14	F	5
No usual address (NT)	15-19	30+	F	4
No usual address (NT)	20-24		F	39
No usual address (NT)	20-24		M	49
No usual address (NT)	20-24	0	F	25
No usual address (NT)	20-24	0	M	18
No usual address (NT)	20-24	<5	F	22
No usual address (NT)	20-24	<5	M	11
No usual address (NT)	20-24	5-14	F	12
No usual address (NT)	20-24	5-14	M	9
No usual address (NT)	20-24	15-29	F	5
No usual address (NT)	20-24	30+	F	7
No usual address (NT)	25-34		F	133
No usual address (NT)	25-34		M	107
No usual address (NT)	25-34	0	F	90
No usual address (NT)	25-34	0	M	81
No usual address (NT)	25-34	<5	F	59
No usual address (NT)	25-34	<5	M	52
No usual address (NT)	25-34	5-14	F	53
No usual address (NT)	25-34	5-14	M	37
No usual address (NT)	25-34	15-29	F	13
No usual address (NT)	25-34	15-29	M	3
No usual address (NT)	25-34	30+	F	18
No usual address (NT)	25-34	30+	M	3
No usual address (NT)	35-44		F	105
No usual address (NT)	35-44		M	132
No usual address (NT)	35-44	0	F	40
No usual address (NT)	35-44	0	M	63
No usual address (NT)	35-44	<5	F	28
No usual address (NT)	35-44	<5	M	38
No usual address (NT)	35-44	5-14	F	37
No usual address (NT)	35-44	5-14	M	43
No usual address (NT)	35-44	15-29	F	22
No usual address (NT)	35-44	15-29	M	13
No usual address (NT)	35-44	30+	F	38
No usual address (NT)	35-44	30+	M	13
No usual address (NT)	45-54		F	124
No usual address (NT)	45-54		M	154
No usual address (NT)	45-54	0	F	47
No usual address (NT)	45-54	0	M	73
No usual address (NT)	45-54	<5	F	55
No usual address (NT)	45-54	<5	M	45
No usual address (NT)	45-54	5-14	F	31
No usual address (NT)	45-54	5-14	M	30
No usual address (NT)	45-54	15-29	F	16
No usual address (NT)	45-54	15-29	M	10
No usual address (NT)	45-54	30+	F	4
No usual address (NT)	45-54	30+	M	4
No usual address (NT)	55-64		F	111
No usual address (NT)	55-64		M	117
No usual address (NT)	55-64	0	F	53
No usual address (NT)	55-64	0	M	73
No usual address (NT)	55-64	<5	F	36
No usual address (NT)	55-64	<5	M	54
No usual address (NT)	55-64	5-14	F	42
No usual address (NT)	55-64	5-14	M	32
No usual address (NT)	55-64	15-29	F	27
No usual address (NT)	55-64	15-29	M	11
No usual address (NT)	55-64	30+	F	14
No usual address (NT)	55-64	30+	M	3
No usual address (NT)	65-74		F	34
No usual address (NT)	65-74		M	58
No usual address (NT)	65-74	0	F	28
No usual address (NT)	65-74	0	M	56
No usual address (NT)	65-74	<5	F	5
No usual address (NT)	65-74	<5	M	32
No usual address (NT)	65-74	5-14	F	25
No usual address (NT)	65-74	5-14	M	30
No usual address (NT)	65-74	15-29	F	10
No usual address (NT)	65-74	15-29	M	20
No usual address (NT)	65-74	30+	F	4
No usual address (NT)	65-74	30+	M	4
No usual address (NT)	75-84		M	11
No usual address (NT)	75-84	0	F	8
No usual address (NT)	75-84	0	M	13
No usual address (NT)	75-84	<5	F	3
No usual address (NT)	75-84	<5	M	6
No usual address (NT)	75-84	5-14	F	6
No usual address (NT)	75-84	5-14	M	5
No usual address (NT)	85+	0	M	4
Migratory - Offshore - Shipping (NT)	15-19	0	M	6
Migratory - Offshore - Shipping (NT)	20-24	0	M	4
Migratory - Offshore - Shipping (NT)	20-24	5-14	F	3
Migratory - Offshore - Shipping (NT)	25-34		M	3
Migratory - Offshore - Shipping (NT)	25-34	0	M	8
Migratory - Offshore - Shipping (NT)	25-34	5-14	M	4
Migratory - Offshore - Shipping (NT)	25-34	15-29	M	3
Migratory - Offshore - Shipping (NT)	35-44		M	4
Migratory - Offshore - Shipping (NT)	35-44	0	M	12
Migratory - Offshore - Shipping (NT)	45-54		M	4
Migratory - Offshore - Shipping (NT)	45-54	0	M	8
Migratory - Offshore - Shipping (NT)	45-54	5-14	F	4
Migratory - Offshore - Shipping (NT)	45-54	5-14	M	5
Migratory - Offshore - Shipping (NT)	55-64		M	3
Migratory - Offshore - Shipping (NT)	55-64	0	M	7
Migratory - Offshore - Shipping (NT)	55-64	5-14	M	3
Greater Darwin	15-19		F	358
Greater Darwin	15-19		M	411
Greater Darwin	15-19	0	F	1213
Greater Darwin	15-19	0	M	1488
Greater Darwin	15-19	<5	F	1561
Greater Darwin	15-19	<5	M	1566
Greater Darwin	15-19	5-14	F	510
Greater Darwin	15-19	5-14	M	393
Greater Darwin	15-19	15-29	F	72
Greater Darwin	15-19	15-29	M	48
Greater Darwin	15-19	30+	F	28
Greater Darwin	15-19	30+	M	19
Greater Darwin	20-24		F	411
Greater Darwin	20-24		M	713
Greater Darwin	20-24	0	F	1268
Greater Darwin	20-24	0	M	1877
Greater Darwin	20-24	<5	F	1092
Greater Darwin	20-24	<5	M	1365
Greater Darwin	20-24	5-14	F	1005
Greater Darwin	20-24	5-14	M	795
Greater Darwin	20-24	15-29	F	230
Greater Darwin	20-24	15-29	M	110
Greater Darwin	20-24	30+	F	135
Greater Darwin	20-24	30+	M	43
Greater Darwin	25-34		F	1257
Greater Darwin	25-34		M	1727
Greater Darwin	25-34	0	F	2880
Greater Darwin	25-34	0	M	3891
Greater Darwin	25-34	<5	F	2451
Greater Darwin	25-34	<5	M	3094
Greater Darwin	25-34	5-14	F	3748
Greater Darwin	25-34	5-14	M	3107
Greater Darwin	25-34	15-29	F	1458
Greater Darwin	25-34	15-29	M	639
Greater Darwin	25-34	30+	F	1403
Greater Darwin	25-34	30+	M	284
Greater Darwin	35-44		F	1031
Greater Darwin	35-44		M	1363
Greater Darwin	35-44	0	F	1730
Greater Darwin	35-44	0	M	2315
Greater Darwin	35-44	<5	F	1361
Greater Darwin	35-44	<5	M	2384
Greater Darwin	35-44	5-14	F	3560
Greater Darwin	35-44	5-14	M	3350
Greater Darwin	35-44	15-29	F	1945
Greater Darwin	35-44	15-29	M	969
Greater Darwin	35-44	30+	F	1661
Greater Darwin	35-44	30+	M	434
