GCCSA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Rest of NT	75-84		M	143
Rest of NT	75-84	Did not go to school	F	84
Rest of NT	75-84	Did not go to school	M	59
Rest of NT	75-84	Year 8 or below	F	143
Rest of NT	75-84	Year 8 or below	M	129
Rest of NT	75-84	Year 9	F	46
Rest of NT	75-84	Year 9	M	60
Rest of NT	75-84	Year 10	F	135
Rest of NT	75-84	Year 10	M	152
Rest of NT	75-84	Year 11	F	50
Rest of NT	75-84	Year 11	M	47
Rest of NT	75-84	Year 12	F	157
Rest of NT	75-84	Year 12	M	200
Rest of NT	85+		F	36
Rest of NT	85+		M	25
Rest of NT	85+	Did not go to school	F	44
Rest of NT	85+	Did not go to school	M	17
Rest of NT	85+	Year 8 or below	F	36
Rest of NT	85+	Year 8 or below	M	26
Rest of NT	85+	Year 9	F	10
Rest of NT	85+	Year 9	M	11
Rest of NT	85+	Year 10	F	23
Rest of NT	85+	Year 10	M	26
Rest of NT	85+	Year 11	F	8
Rest of NT	85+	Year 11	M	6
Rest of NT	85+	Year 12	F	33
Rest of NT	85+	Year 12	M	9
No usual address (ACT)	15-19	Year 9	M	6
No usual address (ACT)	15-19	Year 10	F	5
No usual address (ACT)	15-19	Year 10	M	3
No usual address (ACT)	15-19	Year 12	F	11
No usual address (ACT)	15-19	Year 12	M	5
No usual address (ACT)	20-24		F	3
No usual address (ACT)	20-24		M	7
No usual address (ACT)	20-24	Year 10	F	4
No usual address (ACT)	20-24	Year 10	M	5
No usual address (ACT)	20-24	Year 11	F	4
No usual address (ACT)	20-24	Year 11	M	4
No usual address (ACT)	20-24	Year 12	F	29
No usual address (ACT)	20-24	Year 12	M	16
No usual address (ACT)	25-34		F	7
No usual address (ACT)	25-34		M	11
No usual address (ACT)	25-34	Year 10	F	3
No usual address (ACT)	25-34	Year 10	M	9
No usual address (ACT)	25-34	Year 11	M	3
No usual address (ACT)	25-34	Year 12	F	34
No usual address (ACT)	25-34	Year 12	M	34
No usual address (ACT)	35-44		F	7
No usual address (ACT)	35-44		M	30
No usual address (ACT)	35-44	Year 8 or below	M	3
No usual address (ACT)	35-44	Year 10	M	11
No usual address (ACT)	35-44	Year 11	F	4
No usual address (ACT)	35-44	Year 11	M	3
No usual address (ACT)	35-44	Year 12	F	30
No usual address (ACT)	35-44	Year 12	M	16
No usual address (ACT)	45-54		F	3
No usual address (ACT)	45-54		M	19
No usual address (ACT)	45-54	Year 8 or below	M	3
No usual address (ACT)	45-54	Year 9	M	4
No usual address (ACT)	45-54	Year 10	F	8
No usual address (ACT)	45-54	Year 10	M	9
No usual address (ACT)	45-54	Year 12	F	18
No usual address (ACT)	45-54	Year 12	M	11
No usual address (ACT)	55-64		F	8
No usual address (ACT)	55-64		M	16
No usual address (ACT)	55-64	Year 10	F	5
No usual address (ACT)	55-64	Year 10	M	4
No usual address (ACT)	55-64	Year 11	F	5
No usual address (ACT)	55-64	Year 11	M	3
No usual address (ACT)	55-64	Year 12	F	19
No usual address (ACT)	55-64	Year 12	M	13
No usual address (ACT)	65-74		F	7
No usual address (ACT)	65-74		M	8
No usual address (ACT)	65-74	Year 10	M	4
No usual address (ACT)	65-74	Year 11	F	4
No usual address (ACT)	65-74	Year 12	F	4
No usual address (ACT)	75-84		M	4
No usual address (ACT)	75-84	Year 9	F	3
No usual address (ACT)	75-84	Year 10	F	3
No usual address (ACT)	75-84	Year 12	M	3
Australian Capital Territory	15-19		F	561
Australian Capital Territory	15-19		M	580
Australian Capital Territory	15-19	Did not go to school	F	10
Australian Capital Territory	15-19	Did not go to school	M	12
Australian Capital Territory	15-19	Year 8 or below	F	35
Australian Capital Territory	15-19	Year 8 or below	M	39
Australian Capital Territory	15-19	Year 9	F	91
Australian Capital Territory	15-19	Year 9	M	128
Australian Capital Territory	15-19	Year 10	F	391
Australian Capital Territory	15-19	Year 10	M	611
Australian Capital Territory	15-19	Year 11	F	263
Australian Capital Territory	15-19	Year 11	M	325
Australian Capital Territory	15-19	Year 12	F	4500
Australian Capital Territory	15-19	Year 12	M	4191
Australian Capital Territory	20-24		F	878
Australian Capital Territory	20-24		M	1007
Australian Capital Territory	20-24	Did not go to school	F	26
Australian Capital Territory	20-24	Did not go to school	M	26
Australian Capital Territory	20-24	Year 8 or below	F	34
Australian Capital Territory	20-24	Year 8 or below	M	39
Australian Capital Territory	20-24	Year 9	F	72
Australian Capital Territory	20-24	Year 9	M	91
Australian Capital Territory	20-24	Year 10	F	535
Australian Capital Territory	20-24	Year 10	M	849
Australian Capital Territory	20-24	Year 11	F	364
Australian Capital Territory	20-24	Year 11	M	544
Australian Capital Territory	20-24	Year 12	F	15215
Australian Capital Territory	20-24	Year 12	M	14465
Australian Capital Territory	25-34		F	1716
Australian Capital Territory	25-34		M	2004
Australian Capital Territory	25-34	Did not go to school	F	107
Australian Capital Territory	25-34	Did not go to school	M	169
Australian Capital Territory	25-34	Year 8 or below	F	121
Australian Capital Territory	25-34	Year 8 or below	M	174
Australian Capital Territory	25-34	Year 9	F	260
Australian Capital Territory	25-34	Year 9	M	315
Australian Capital Territory	25-34	Year 10	F	1736
Australian Capital Territory	25-34	Year 10	M	2376
Australian Capital Territory	25-34	Year 11	F	849
Australian Capital Territory	25-34	Year 11	M	1166
Australian Capital Territory	25-34	Year 12	F	34195
Australian Capital Territory	25-34	Year 12	M	32400
Australian Capital Territory	35-44		F	1176
Australian Capital Territory	35-44		M	1413
Australian Capital Territory	35-44	Did not go to school	F	90
Australian Capital Territory	35-44	Did not go to school	M	144
Australian Capital Territory	35-44	Year 8 or below	F	171
Australian Capital Territory	35-44	Year 8 or below	M	221
Australian Capital Territory	35-44	Year 9	F	247
Australian Capital Territory	35-44	Year 9	M	326
Australian Capital Territory	35-44	Year 10	F	1705
Australian Capital Territory	35-44	Year 10	M	2157
Australian Capital Territory	35-44	Year 11	F	878
Australian Capital Territory	35-44	Year 11	M	1148
Australian Capital Territory	35-44	Year 12	F	30710
Australian Capital Territory	35-44	Year 12	M	28844
Australian Capital Territory	45-54		F	893
Australian Capital Territory	45-54		M	1055
Australian Capital Territory	45-54	Did not go to school	F	134
Australian Capital Territory	45-54	Did not go to school	M	130
Australian Capital Territory	45-54	Year 8 or below	F	238
Australian Capital Territory	45-54	Year 8 or below	M	236
Australian Capital Territory	45-54	Year 9	F	333
Australian Capital Territory	45-54	Year 9	M	392
Australian Capital Territory	45-54	Year 10	F	2876
Australian Capital Territory	45-54	Year 10	M	3149
Australian Capital Territory	45-54	Year 11	F	992
Australian Capital Territory	45-54	Year 11	M	1165
Australian Capital Territory	45-54	Year 12	F	22857
Australian Capital Territory	45-54	Year 12	M	21634
Australian Capital Territory	55-64		F	713
Australian Capital Territory	55-64		M	866
Australian Capital Territory	55-64	Did not go to school	F	183
Australian Capital Territory	55-64	Did not go to school	M	107
Australian Capital Territory	55-64	Year 8 or below	F	493
Australian Capital Territory	55-64	Year 8 or below	M	349
Australian Capital Territory	55-64	Year 9	F	555
Australian Capital Territory	55-64	Year 9	M	467
Australian Capital Territory	55-64	Year 10	F	4381
Australian Capital Territory	55-64	Year 10	M	3873
Australian Capital Territory	55-64	Year 11	F	1122
Australian Capital Territory	55-64	Year 11	M	1085
Australian Capital Territory	55-64	Year 12	F	15992
Australian Capital Territory	55-64	Year 12	M	15112
Australian Capital Territory	65-74		F	887
Australian Capital Territory	65-74		M	781
Australian Capital Territory	65-74	Did not go to school	F	165
Australian Capital Territory	65-74	Did not go to school	M	105
Australian Capital Territory	65-74	Year 8 or below	F	911
Australian Capital Territory	65-74	Year 8 or below	M	640
Australian Capital Territory	65-74	Year 9	F	1038
Australian Capital Territory	65-74	Year 9	M	689
Australian Capital Territory	65-74	Year 10	F	4509
Australian Capital Territory	65-74	Year 10	M	2686
Australian Capital Territory	65-74	Year 11	F	837
Australian Capital Territory	65-74	Year 11	M	687
Australian Capital Territory	65-74	Year 12	F	10652
Australian Capital Territory	65-74	Year 12	M	11026
Australian Capital Territory	75-84		F	735
Australian Capital Territory	75-84		M	604
Australian Capital Territory	75-84	Did not go to school	F	195
Australian Capital Territory	75-84	Did not go to school	M	88
Australian Capital Territory	75-84	Year 8 or below	F	992
Australian Capital Territory	75-84	Year 8 or below	M	698
Australian Capital Territory	75-84	Year 9	F	775
Australian Capital Territory	75-84	Year 9	M	502
Australian Capital Territory	75-84	Year 10	F	2684
Australian Capital Territory	75-84	Year 10	M	1420
Australian Capital Territory	75-84	Year 11	F	484
Australian Capital Territory	75-84	Year 11	M	313
Australian Capital Territory	75-84	Year 12	F	4694
Australian Capital Territory	75-84	Year 12	M	5143
Australian Capital Territory	85+		F	516
Australian Capital Territory	85+		M	295
Australian Capital Territory	85+	Did not go to school	F	118
Australian Capital Territory	85+	Did not go to school	M	34
Australian Capital Territory	85+	Year 8 or below	F	634
Australian Capital Territory	85+	Year 8 or below	M	361
Australian Capital Territory	85+	Year 9	F	400
Australian Capital Territory	85+	Year 9	M	180
Australian Capital Territory	85+	Year 10	F	1047
Australian Capital Territory	85+	Year 10	M	453
Australian Capital Territory	85+	Year 11	F	183
Australian Capital Territory	85+	Year 11	M	98
Australian Capital Territory	85+	Year 12	F	1420
Australian Capital Territory	85+	Year 12	M	1436
Other Territories	15-19		F	14
Other Territories	15-19		M	10
Other Territories	15-19	Year 9	M	4
Other Territories	15-19	Year 10	F	7
Other Territories	15-19	Year 10	M	12
Other Territories	15-19	Year 11	F	4
Other Territories	15-19	Year 12	F	20
Other Territories	15-19	Year 12	M	22
Other Territories	20-24		F	14
Other Territories	20-24		M	39
Other Territories	20-24	Year 9	M	5
Other Territories	20-24	Year 10	F	3
Other Territories	20-24	Year 10	M	4
Other Territories	20-24	Year 11	M	7
Other Territories	20-24	Year 12	F	83
Other Territories	20-24	Year 12	M	53
Other Territories	25-34		F	52
Other Territories	25-34		M	160
Other Territories	25-34	Year 8 or below	F	3
Other Territories	25-34	Year 8 or below	M	6
Other Territories	25-34	Year 9	F	3
Other Territories	25-34	Year 10	F	10
Other Territories	25-34	Year 10	M	28
Other Territories	25-34	Year 11	F	13
Other Territories	25-34	Year 11	M	9
Other Territories	25-34	Year 12	F	163
Other Territories	25-34	Year 12	M	131
Other Territories	35-44		F	49
Other Territories	35-44		M	104
Other Territories	35-44	Year 8 or below	F	5
Other Territories	35-44	Year 8 or below	M	5
Other Territories	35-44	Year 9	M	3
Other Territories	35-44	Year 10	F	23
Other Territories	35-44	Year 10	M	21
Other Territories	35-44	Year 11	F	13
Other Territories	35-44	Year 11	M	23
Other Territories	35-44	Year 12	F	214
Other Territories	35-44	Year 12	M	171
Other Territories	45-54		F	46
Other Territories	45-54		M	89
Other Territories	45-54	Year 8 or below	F	12
Other Territories	45-54	Year 8 or below	M	6
Other Territories	45-54	Year 9	F	7
Other Territories	45-54	Year 9	M	13
Other Territories	45-54	Year 10	F	69
Other Territories	45-54	Year 10	M	85
Other Territories	45-54	Year 11	F	32
Other Territories	45-54	Year 11	M	29
Other Territories	45-54	Year 12	F	158
Other Territories	45-54	Year 12	M	122
Other Territories	55-64		F	64
Other Territories	55-64		M	59
Other Territories	55-64	Did not go to school	F	13
Other Territories	55-64	Did not go to school	M	13
Other Territories	55-64	Year 8 or below	F	20
Other Territories	55-64	Year 8 or below	M	12
Other Territories	55-64	Year 9	F	10
Other Territories	55-64	Year 9	M	12
Other Territories	55-64	Year 10	F	102
Other Territories	55-64	Year 10	M	130
Other Territories	55-64	Year 11	F	33
Other Territories	55-64	Year 11	M	35
Other Territories	55-64	Year 12	F	139
Other Territories	55-64	Year 12	M	115
Other Territories	65-74		F	30
Other Territories	65-74		M	56
Other Territories	65-74	Did not go to school	F	20
Other Territories	65-74	Did not go to school	M	22
Other Territories	65-74	Year 8 or below	F	21
Other Territories	65-74	Year 8 or below	M	48
Other Territories	65-74	Year 9	F	22
Other Territories	65-74	Year 9	M	11
Other Territories	65-74	Year 10	F	83
Other Territories	65-74	Year 10	M	76
Other Territories	65-74	Year 11	F	10
Other Territories	65-74	Year 11	M	8
Other Territories	65-74	Year 12	F	81
Other Territories	65-74	Year 12	M	87
Other Territories	75-84		F	26
Other Territories	75-84		M	28
Other Territories	75-84	Did not go to school	F	19
Other Territories	75-84	Did not go to school	M	14
Other Territories	75-84	Year 8 or below	F	5
Other Territories	75-84	Year 8 or below	M	16
Other Territories	75-84	Year 9	F	7
Other Territories	75-84	Year 9	M	13
Other Territories	75-84	Year 10	F	26
Other Territories	75-84	Year 10	M	23
Other Territories	75-84	Year 11	F	7
Other Territories	75-84	Year 11	M	3
Other Territories	75-84	Year 12	F	38
Other Territories	75-84	Year 12	M	28
Other Territories	85+		F	3
Other Territories	85+	Did not go to school	F	7
Other Territories	85+	Did not go to school	M	3
Other Territories	85+	Year 8 or below	M	3
Other Territories	85+	Year 9	M	3
Other Territories	85+	Year 10	F	9
Other Territories	85+	Year 10	M	15
Other Territories	85+	Year 12	F	10
Other Territories	85+	Year 12	M	4
