GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
Migratory - Offshore - Shipping (Qld)	35-39		M	21
Migratory - Offshore - Shipping (Qld)	35-39	0	M	5
Migratory - Offshore - Shipping (Qld)	40-44		M	14
Migratory - Offshore - Shipping (Qld)	40-44	0	M	8
Migratory - Offshore - Shipping (Qld)	45-49		M	20
Migratory - Offshore - Shipping (Qld)	45-49	0	M	10
Migratory - Offshore - Shipping (Qld)	50-54		M	7
Migratory - Offshore - Shipping (Qld)	50-54	0	M	5
Migratory - Offshore - Shipping (Qld)	55-59		M	3
Migratory - Offshore - Shipping (Qld)	65+	0	M	3
Greater Brisbane	0-4		F	2829
Greater Brisbane	0-4		M	2999
Greater Brisbane	0-4	0	F	66039
Greater Brisbane	0-4	0	M	70036
Greater Brisbane	0-4	1	F	4207
Greater Brisbane	0-4	1	M	4396
Greater Brisbane	5-9		F	3315
Greater Brisbane	5-9		M	3556
Greater Brisbane	5-9	0	F	73114
Greater Brisbane	5-9	0	M	77026
Greater Brisbane	5-9	1	F	4208
Greater Brisbane	5-9	1	M	4458
Greater Brisbane	10-14		F	3256
Greater Brisbane	10-14		M	3451
Greater Brisbane	10-14	0	F	74093
Greater Brisbane	10-14	0	M	78567
Greater Brisbane	10-14	1	F	4246
Greater Brisbane	10-14	1	M	4347
Greater Brisbane	15-19		F	2954
Greater Brisbane	15-19		M	3075
Greater Brisbane	15-19	0	F	70037
Greater Brisbane	15-19	0	M	73335
Greater Brisbane	15-19	1	F	3798
Greater Brisbane	15-19	1	M	3929
Greater Brisbane	20-24		F	3885
Greater Brisbane	20-24		M	4172
Greater Brisbane	20-24	0	F	79156
Greater Brisbane	20-24	0	M	80116
Greater Brisbane	20-24	1	F	3714
Greater Brisbane	20-24	1	M	3589
Greater Brisbane	25-29		F	4618
Greater Brisbane	25-29		M	4755
Greater Brisbane	25-29	0	F	85420
Greater Brisbane	25-29	0	M	83723
Greater Brisbane	25-29	1	F	3300
Greater Brisbane	25-29	1	M	3203
Greater Brisbane	30-34		F	4225
Greater Brisbane	30-34		M	4591
Greater Brisbane	30-34	0	F	89977
Greater Brisbane	30-34	0	M	84959
Greater Brisbane	30-34	1	F	2697
Greater Brisbane	30-34	1	M	2612
Greater Brisbane	35-39		F	4045
Greater Brisbane	35-39		M	4273
Greater Brisbane	35-39	0	F	90828
Greater Brisbane	35-39	0	M	86058
Greater Brisbane	35-39	1	F	2270
Greater Brisbane	35-39	1	M	2075
Greater Brisbane	40-44		F	3178
Greater Brisbane	40-44		M	3624
Greater Brisbane	40-44	0	F	81963
Greater Brisbane	40-44	0	M	78306
Greater Brisbane	40-44	1	F	1932
Greater Brisbane	40-44	1	M	1797
Greater Brisbane	45-49		F	3023
Greater Brisbane	45-49		M	3591
Greater Brisbane	45-49	0	F	81447
Greater Brisbane	45-49	0	M	77098
Greater Brisbane	45-49	1	F	2016
Greater Brisbane	45-49	1	M	1830
Greater Brisbane	50-54		F	2712
Greater Brisbane	50-54		M	3342
Greater Brisbane	50-54	0	F	77414
Greater Brisbane	50-54	0	M	73085
Greater Brisbane	50-54	1	F	1890
Greater Brisbane	50-54	1	M	1612
Greater Brisbane	55-59		F	2416
Greater Brisbane	55-59		M	2857
Greater Brisbane	55-59	0	F	69759
Greater Brisbane	55-59	0	M	65885
Greater Brisbane	55-59	1	F	1524
Greater Brisbane	55-59	1	M	1295
Greater Brisbane	60-64		F	2184
Greater Brisbane	60-64		M	2462
