SA2_NAME16	PrivateDwelling	Sex	persons
Quirindi	0	F	436
Quirindi	0	M	489
Quirindi	1	F	3339
Quirindi	1	M	3322
Tamworth - East	0	F	713
Tamworth - East	0	M	1061
Tamworth - East	1	F	10091
Tamworth - East	1	M	9646
Tamworth - North	0	F	943
Tamworth - North	0	M	844
Tamworth - North	1	F	7931
Tamworth - North	1	M	7103
Tamworth - West	0	F	371
Tamworth - West	0	M	324
Tamworth - West	1	F	2708
Tamworth - West	1	M	2601
Tamworth Surrounds	0	F	610
Tamworth Surrounds	0	M	647
Tamworth Surrounds	1	F	8877
Tamworth Surrounds	1	M	8750
Belmont - Bennetts Green	0	F	395
Belmont - Bennetts Green	0	M	295
Belmont - Bennetts Green	1	F	8669
