SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Bourke - Cobar - Coonamble	1	1	15750	6
Bourke - Cobar - Coonamble	1	1	21000	3
Bourke - Cobar - Coonamble	1	1	26250	4
Bourke - Cobar - Coonamble	1	1	34125	13
Bourke - Cobar - Coonamble	1	1	42000	26
Broken Hill and Far West				6
Broken Hill and Far West			0	3
Broken Hill and Far West			26250	5
Broken Hill and Far West			34125	3
Broken Hill and Far West			42000	13
Broken Hill and Far West			52500	18
Broken Hill and Far West			65625	11
Broken Hill and Far West			78750	4
Broken Hill and Far West			91875	7
Broken Hill and Far West			131250	10
Broken Hill and Far West			157500	9
Broken Hill and Far West			Inf	3
Broken Hill and Far West	0			128
Broken Hill and Far West	0		0	22
Broken Hill and Far West	0		7875	6
Broken Hill and Far West	0		15750	20
Broken Hill and Far West	0		21000	44
Broken Hill and Far West	0		26250	68
Broken Hill and Far West	0		34125	103
Broken Hill and Far West	0		42000	99
Broken Hill and Far West	0		52500	149
Broken Hill and Far West	0		65625	129
Broken Hill and Far West	0		78750	108
Broken Hill and Far West	0		91875	62
Broken Hill and Far West	0		105000	65
Broken Hill and Far West	0		131250	100
Broken Hill and Far West	0		157500	30
Broken Hill and Far West	0		183750	26
Broken Hill and Far West	0		210000	11
Broken Hill and Far West	0		Inf	14
Broken Hill and Far West	1	0		401
Broken Hill and Far West	1	0	0	56
Broken Hill and Far West	1	0	7875	14
Broken Hill and Far West	1	0	15750	7
Broken Hill and Far West	1	0	21000	3
Broken Hill and Far West	1	0	26250	63
Broken Hill and Far West	1	0	34125	47
Broken Hill and Far West	1	0	42000	314
Broken Hill and Far West	1	0	52500	218
Broken Hill and Far West	1	0	65625	263
Broken Hill and Far West	1	0	78750	295
Broken Hill and Far West	1	0	91875	173
Broken Hill and Far West	1	0	105000	203
Broken Hill and Far West	1	0	131250	437
Broken Hill and Far West	1	0	157500	361
Broken Hill and Far West	1	0	183750	294
Broken Hill and Far West	1	0	210000	206
Broken Hill and Far West	1	0	Inf	332
Broken Hill and Far West	1	1	15750	3
Broken Hill and Far West	1	1	26250	10
Broken Hill and Far West	1	1	34125	16
Broken Hill and Far West	1	1	42000	25
Dubbo				16
Dubbo			0	3
Dubbo			7875	6
Dubbo			15750	3
Dubbo			26250	6
Dubbo			34125	7
Dubbo			42000	23
Dubbo			52500	44
Dubbo			65625	30
Dubbo			78750	41
Dubbo			91875	26
Dubbo			105000	8
Dubbo			131250	39
Dubbo			157500	17
Dubbo			183750	4
Dubbo			210000	4
Dubbo	0			366
Dubbo	0		0	48
Dubbo	0		7875	7
Dubbo	0		15750	48
Dubbo	0		21000	71
Dubbo	0		26250	178
Dubbo	0		34125	270
Dubbo	0		42000	307
Dubbo	0		52500	391
Dubbo	0		65625	461
Dubbo	0		78750	328
Dubbo	0		91875	252
Dubbo	0		105000	182
Dubbo	0		131250	259
Dubbo	0		157500	111
Dubbo	0		183750	46
Dubbo	0		210000	28
Dubbo	0		Inf	67
Dubbo	1	0		1449
