CED_NAME16	EduInstitutionType	Sex	students
Chisholm	Pre-school	M	1729
Chisholm	Secondary	F	6159
Chisholm	Secondary	M	6429
Chisholm	Technical or Further Educational Institution	F	2163
Chisholm	Technical or Further Educational Institution	M	2251
Chisholm	University or other tertiary	F	8410
Chisholm	University or other tertiary	M	8119
Cooper		F	4278
Cooper		M	4225
Cooper	Infants/Primary	F	4980
Cooper	Infants/Primary	M	5204
Cooper	Pre-school	F	1517
Cooper	Pre-school	M	1641
Cooper	Secondary	F	4003
Cooper	Secondary	M	4216
Cooper	Technical or Further Educational Institution	F	1959
Cooper	Technical or Further Educational Institution	M	2017
Cooper	University or other tertiary	F	6491
Cooper	University or other tertiary	M	4727
Corangamite		F	4147
Corangamite		M	3848
Corangamite	Infants/Primary	F	6451
Corangamite	Infants/Primary	M	6826
Corangamite	Pre-school	F	1746
Corangamite	Pre-school	M	1958
Corangamite	Secondary	F	4663
Corangamite	Secondary	M	4867
Corangamite	Technical or Further Educational Institution	F	1675
Corangamite	Technical or Further Educational Institution	M	1652
Corangamite	University or other tertiary	F	4190
Corangamite	University or other tertiary	M	2681
Corio		F	4825
Corio		M	5788
Corio	Infants/Primary	F	5950
Corio	Infants/Primary	M	6177
Corio	Pre-school	F	1602
Corio	Pre-school	M	1795
Corio	Secondary	F	4951
Corio	Secondary	M	5037
Corio	Technical or Further Educational Institution	F	1902
Corio	Technical or Further Educational Institution	M	1814
Corio	University or other tertiary	F	4182
Corio	University or other tertiary	M	2877
Deakin		F	3924
Deakin		M	3323
Deakin	Infants/Primary	F	6747
Deakin	Infants/Primary	M	7082
Deakin	Pre-school	F	1881
Deakin	Pre-school	M	2159
Deakin	Secondary	F	5514
Deakin	Secondary	M	5850
Deakin	Technical or Further Educational Institution	F	1914
Deakin	Technical or Further Educational Institution	M	1874
Deakin	University or other tertiary	F	4377
Deakin	University or other tertiary	M	3400
Dunkley		F	4702
Dunkley		M	4512
Dunkley	Infants/Primary	F	6419
Dunkley	Infants/Primary	M	6779
Dunkley	Pre-school	F	1819
Dunkley	Pre-school	M	1996
Dunkley	Secondary	F	5116
Dunkley	Secondary	M	5334
Dunkley	Technical or Further Educational Institution	F	2036
Dunkley	Technical or Further Educational Institution	M	1793
Dunkley	University or other tertiary	F	3405
Dunkley	University or other tertiary	M	1937
Flinders		F	5258
Flinders		M	4747
Flinders	Infants/Primary	F	5159
Flinders	Infants/Primary	M	5514
Flinders	Pre-school	F	1331
Flinders	Pre-school	M	1494
Flinders	Secondary	F	4433
Flinders	Secondary	M	4541
Flinders	Technical or Further Educational Institution	F	1531
Flinders	Technical or Further Educational Institution	M	1464
Flinders	University or other tertiary	F	2461
Flinders	University or other tertiary	M	1328
Fraser		F	7117
Fraser		M	7665
Fraser	Infants/Primary	F	5668
Fraser	Infants/Primary	M	6121
Fraser	Pre-school	F	1485
Fraser	Pre-school	M	1627
Fraser	Secondary	F	4578
Fraser	Secondary	M	4660
Fraser	Technical or Further Educational Institution	F	2514
Fraser	Technical or Further Educational Institution	M	2595
Fraser	University or other tertiary	F	5629
Fraser	University or other tertiary	M	4878
Gellibrand		F	5716
Gellibrand		M	6885
Gellibrand	Infants/Primary	F	9689
Gellibrand	Infants/Primary	M	10154
Gellibrand	Pre-school	F	2599
Gellibrand	Pre-school	M	2870
Gellibrand	Secondary	F	5781
Gellibrand	Secondary	M	6065
Gellibrand	Technical or Further Educational Institution	F	2248
Gellibrand	Technical or Further Educational Institution	M	2153
Gellibrand	University or other tertiary	F	4957
Gellibrand	University or other tertiary	M	3725
Gippsland		F	6447
Gippsland		M	7077
Gippsland	Infants/Primary	F	5516
Gippsland	Infants/Primary	M	5853
Gippsland	Pre-school	F	1339
Gippsland	Pre-school	M	1474
Gippsland	Secondary	F	4325
Gippsland	Secondary	M	4385
Gippsland	Technical or Further Educational Institution	F	1819
Gippsland	Technical or Further Educational Institution	M	1203
Gippsland	University or other tertiary	F	2113
Gippsland	University or other tertiary	M	936
Goldstein		F	3552
Goldstein		M	3062
Goldstein	Infants/Primary	F	6296
Goldstein	Infants/Primary	M	6558
Goldstein	Pre-school	F	1638
Goldstein	Pre-school	M	1698
Goldstein	Secondary	F	6085
Goldstein	Secondary	M	6391
Goldstein	Technical or Further Educational Institution	F	1195
Goldstein	Technical or Further Educational Institution	M	1109
Goldstein	University or other tertiary	F	5037
Goldstein	University or other tertiary	M	4324
Gorton		F	5561
Gorton		M	7091
Gorton	Infants/Primary	F	8191
Gorton	Infants/Primary	M	8617
Gorton	Pre-school	F	1955
Gorton	Pre-school	M	2095
Gorton	Secondary	F	6665
Gorton	Secondary	M	6852
Gorton	Technical or Further Educational Institution	F	1888
Gorton	Technical or Further Educational Institution	M	1979
Gorton	University or other tertiary	F	4712
Gorton	University or other tertiary	M	3379
Hawke		F	5500
Hawke		M	5244
Hawke	Infants/Primary	F	7815
Hawke	Infants/Primary	M	8303
Hawke	Pre-school	F	2168
Hawke	Pre-school	M	2097
Hawke	Secondary	F	5727
Hawke	Secondary	M	5535
Hawke	Technical or Further Educational Institution	F	2040
Hawke	Technical or Further Educational Institution	M	1828
Hawke	University or other tertiary	F	3416
Hawke	University or other tertiary	M	1955
Higgins		F	4259
Higgins		M	3688
Higgins	Infants/Primary	F	4452
Higgins	Infants/Primary	M	4639
Higgins	Pre-school	F	1277
Higgins	Pre-school	M	1486
Higgins	Secondary	F	4142
Higgins	Secondary	M	4202
Higgins	Technical or Further Educational Institution	F	1547
Higgins	Technical or Further Educational Institution	M	1445
