CED_NAME16	Age5yr	ChildrenEverBorn	females
Cook	35-39	5	19
Cook	35-39	6	6
Cook	40-44		204
Cook	40-44	0	823
Cook	40-44	1	757
Cook	40-44	2	1960
Cook	40-44	3	895
Cook	40-44	4	212
Cook	40-44	5	38
Cook	40-44	6	13
Cook	45-49		208
Cook	45-49	0	792
Cook	45-49	1	789
Cook	45-49	2	2206
Cook	45-49	3	1039
Cook	45-49	4	234
Cook	45-49	5	46
Cook	45-49	6	15
Cook	50-54		197
Cook	50-54	0	793
Cook	50-54	1	801
Cook	50-54	2	2138
Cook	50-54	3	1037
Cook	50-54	4	298
Cook	50-54	5	44
Cook	50-54	6	20
Cook	55-59		153
Cook	55-59	0	767
Cook	55-59	1	729
Cook	55-59	2	1932
Cook	55-59	3	1021
Cook	55-59	4	259
Cook	55-59	5	62
Cook	55-59	6	23
Cook	60-64		175
Cook	60-64	0	664
Cook	60-64	1	588
Cook	60-64	2	1842
Cook	60-64	3	1062
Cook	60-64	4	282
Cook	60-64	5	55
Cook	60-64	6	21
Cook	65-69		158
Cook	65-69	0	483
Cook	65-69	1	515
Cook	65-69	2	1657
Cook	65-69	3	988
Cook	65-69	4	311
Cook	65-69	5	50
Cook	65-69	6	31
Cook	70-74		177
Cook	70-74	0	348
Cook	70-74	1	375
Cook	70-74	2	1600
Cook	70-74	3	950
Cook	70-74	4	300
Cook	70-74	5	59
Cook	70-74	6	27
Cook	75-79		227
Cook	75-79	0	260
Cook	75-79	1	266
Cook	75-79	2	1192
Cook	75-79	3	830
Cook	75-79	4	264
Cook	75-79	5	79
Cook	75-79	6	36
Cook	80-84		203
Cook	80-84	0	148
Cook	80-84	1	188
Cook	80-84	2	801
Cook	80-84	3	608
Cook	80-84	4	281
Cook	80-84	5	78
Cook	80-84	6	43
Cook	85+		499
Cook	85+	0	202
Cook	85+	1	237
Cook	85+	2	848
Cook	85+	3	734
Cook	85+	4	377
Cook	85+	5	127
Cook	85+	6	111
Cowper	15-19		508
Cowper	15-19	0	4183
Cowper	15-19	1	43
Cowper	15-19	2	7
Cowper	20-24		339
Cowper	20-24	0	2922
Cowper	20-24	1	343
Cowper	20-24	2	160
Cowper	20-24	3	28
Cowper	25-29		353
Cowper	25-29	0	2160
Cowper	25-29	1	720
Cowper	25-29	2	520
Cowper	25-29	3	188
Cowper	25-29	4	58
Cowper	25-29	5	18
Cowper	25-29	6	6
Cowper	30-34		347
Cowper	30-34	0	1321
Cowper	30-34	1	865
Cowper	30-34	2	1115
Cowper	30-34	3	498
Cowper	30-34	4	187
Cowper	30-34	5	58
Cowper	30-34	6	34
Cowper	35-39		329
Cowper	35-39	0	806
Cowper	35-39	1	723
Cowper	35-39	2	1534
Cowper	35-39	3	790
Cowper	35-39	4	315
Cowper	35-39	5	95
Cowper	35-39	6	61
Cowper	40-44		317
Cowper	40-44	0	702
Cowper	40-44	1	618
Cowper	40-44	2	1537
Cowper	40-44	3	896
Cowper	40-44	4	342
Cowper	40-44	5	135
Cowper	40-44	6	93
Cowper	45-49		328
Cowper	45-49	0	686
Cowper	45-49	1	638
Cowper	45-49	2	1846
Cowper	45-49	3	1088
Cowper	45-49	4	461
Cowper	45-49	5	150
Cowper	45-49	6	88
Cowper	50-54		326
Cowper	50-54	0	770
Cowper	50-54	1	711
Cowper	50-54	2	1956
Cowper	50-54	3	1139
Cowper	50-54	4	436
Cowper	50-54	5	164
Cowper	50-54	6	87
Cowper	55-59		371
Cowper	55-59	0	905
Cowper	55-59	1	694
Cowper	55-59	2	2066
Cowper	55-59	3	1297
Cowper	55-59	4	535
Cowper	55-59	5	175
Cowper	55-59	6	110
Cowper	60-64		399
Cowper	60-64	0	957
Cowper	60-64	1	728
Cowper	60-64	2	2271
Cowper	60-64	3	1554
Cowper	60-64	4	610
Cowper	60-64	5	176
Cowper	60-64	6	94
Cowper	65-69		369
Cowper	65-69	0	829
Cowper	65-69	1	645
Cowper	65-69	2	2129
Cowper	65-69	3	1542
Cowper	65-69	4	623
Cowper	65-69	5	146
Cowper	65-69	6	78
Cowper	70-74		438
Cowper	70-74	0	678
Cowper	70-74	1	554
Cowper	70-74	2	2137
