CED_NAME21	MaxSchoolingCompleted	adults
Kingston	Year 12	68634
Makin	Did not go to school	2008
Makin	Year 8	6012
Makin	Year 9	7110
Makin	Year 10	22660
Makin	Year 11	24832
Makin	Year 12	74160
Mayo	Did not go to school	260
Mayo	Year 8	4204
Mayo	Year 9	7039
Mayo	Year 10	23101
Mayo	Year 11	26593
Mayo	Year 12	75071
Spence	Did not go to school	3817
Spence	Year 8	8241
Spence	Year 9	9748
Spence	Year 10	27579
Spence	Year 11	28028
Spence	Year 12	61049
Sturt	Did not go to school	1299
Sturt	Year 8	6370
Sturt	Year 9	5123
Sturt	Year 10	15146
Sturt	Year 11	18740
Sturt	Year 12	104019
No usual address (SA)	Did not go to school	21
No usual address (SA)	Year 8	95
No usual address (SA)	Year 9	185
No usual address (SA)	Year 10	543
No usual address (SA)	Year 11	509
No usual address (SA)	Year 12	850
Migratory - Offshore - Shipping (SA)	Year 12	4
Brand	Did not go to school	586
Brand	Year 8	3297
Brand	Year 9	7160
Brand	Year 10	35458
Brand	Year 11	17114
Brand	Year 12	68495
Burt	Did not go to school	1954
Burt	Year 8	4488
Burt	Year 9	6701
Burt	Year 10	30044
Burt	Year 11	14078
Burt	Year 12	75142
Canning	Did not go to school	386
Canning	Year 8	4022
Canning	Year 9	7781
Canning	Year 10	36207
Canning	Year 11	15677
Canning	Year 12	56386
Cowan	Did not go to school	3078
Cowan	Year 8	6984
Cowan	Year 9	6387
Cowan	Year 10	27360
Cowan	Year 11	12932
Cowan	Year 12	82182
Curtin	Did not go to school	365
Curtin	Year 8	1844
Curtin	Year 9	3865
Curtin	Year 10	14201
Curtin	Year 11	8153
Curtin	Year 12	107391
Durack	Did not go to school	951
Durack	Year 8	5165
Durack	Year 9	8210
Durack	Year 10	38400
Durack	Year 11	18703
Durack	Year 12	64702
Forrest	Did not go to school	409
Forrest	Year 8	3603
Forrest	Year 9	6695
Forrest	Year 10	34377
Forrest	Year 11	15033
Forrest	Year 12	58263
Fremantle	Did not go to school	817
Fremantle	Year 8	3980
Fremantle	Year 9	5006
Fremantle	Year 10	23152
Fremantle	Year 11	11855
Fremantle	Year 12	83619
Hasluck	Did not go to school	942
Hasluck	Year 8	3378
Hasluck	Year 9	6010
Hasluck	Year 10	30407
Hasluck	Year 11	14379
Hasluck	Year 12	75515
Moore	Did not go to school	313
Moore	Year 8	2023
Moore	Year 9	4706
Moore	Year 10	24387
Moore	Year 11	12604
Moore	Year 12	83982
O'Connor	Did not go to school	721
O'Connor	Year 8	5064
O'Connor	Year 9	8148
O'Connor	Year 10	37799
O'Connor	Year 11	16502
O'Connor	Year 12	58986
Pearce	Did not go to school	885
Pearce	Year 8	2663
Pearce	Year 9	5666
Pearce	Year 10	27402
Pearce	Year 11	14912
Pearce	Year 12	78830
Perth	Did not go to school	1106
Perth	Year 8	4103
Perth	Year 9	4186
Perth	Year 10	19078
Perth	Year 11	10356
Perth	Year 12	107154
Swan	Did not go to school	1288
Swan	Year 8	3833
Swan	Year 9	5244
Swan	Year 10	23564
Swan	Year 11	12164
Swan	Year 12	101587
Tangney	Did not go to school	917
Tangney	Year 8	3308
Tangney	Year 9	5063
Tangney	Year 10	22313
Tangney	Year 11	10846
Tangney	Year 12	101709
No usual address (WA)	Did not go to school	30
No usual address (WA)	Year 8	118
No usual address (WA)	Year 9	241
No usual address (WA)	Year 10	1036
No usual address (WA)	Year 11	457
No usual address (WA)	Year 12	2024
Migratory - Offshore - Shipping (WA)	Did not go to school	3
Migratory - Offshore - Shipping (WA)	Year 9	16
Migratory - Offshore - Shipping (WA)	Year 10	61
Migratory - Offshore - Shipping (WA)	Year 11	38
Migratory - Offshore - Shipping (WA)	Year 12	174
Bass	Did not go to school	718
Bass	Year 8	3629
Bass	Year 9	6524
Bass	Year 10	27234
Bass	Year 11	7836
Bass	Year 12	39600
Braddon	Did not go to school	303
Braddon	Year 8	4242
Braddon	Year 9	8482
Braddon	Year 10	32448
Braddon	Year 11	8779
Braddon	Year 12	30297
Clark	Did not go to school	677
Clark	Year 8	2909
Clark	Year 9	4575
Clark	Year 10	17029
Clark	Year 11	6142
Clark	Year 12	58583
Franklin	Did not go to school	283
Franklin	Year 8	2631
Franklin	Year 9	5150
Franklin	Year 10	23119
Franklin	Year 11	7680
Franklin	Year 12	48690
Lyons	Did not go to school	248
Lyons	Year 8	3837
Lyons	Year 9	8129
Lyons	Year 10	31642
Lyons	Year 11	8896
Lyons	Year 12	34056
No usual address (Tas.)	Did not go to school	8
No usual address (Tas.)	Year 8	50
No usual address (Tas.)	Year 9	75
No usual address (Tas.)	Year 10	314
No usual address (Tas.)	Year 11	94
No usual address (Tas.)	Year 12	374
Migratory - Offshore - Shipping (Tas.)	Year 11	3
Migratory - Offshore - Shipping (Tas.)	Year 12	7
Lingiari	Did not go to school	1763
Lingiari	Year 8	6630
Lingiari	Year 9	6691
Lingiari	Year 10	19193
Lingiari	Year 11	11743
Lingiari	Year 12	36903
Solomon	Did not go to school	702
Solomon	Year 8	2583
Solomon	Year 9	3292
Solomon	Year 10	12224
Solomon	Year 11	9331
Solomon	Year 12	51720
No usual address (NT)	Did not go to school	28
No usual address (NT)	Year 8	127
No usual address (NT)	Year 9	173
No usual address (NT)	Year 10	473
No usual address (NT)	Year 11	255
No usual address (NT)	Year 12	805
Migratory - Offshore - Shipping (NT)	Year 9	5
Migratory - Offshore - Shipping (NT)	Year 10	21
Migratory - Offshore - Shipping (NT)	Year 11	8
Migratory - Offshore - Shipping (NT)	Year 12	29
Bean	Did not go to school	513
Bean	Year 8	2977
Bean	Year 9	4474
Bean	Year 10	18414
Bean	Year 11	6479
Bean	Year 12	85738
Canberra	Did not go to school	501
Canberra	Year 8	2156
Canberra	Year 9	2749
Canberra	Year 10	9103
Canberra	Year 11	4108
Canberra	Year 12	99115
Fenner	Did not go to school	837
Fenner	Year 8	2694
Fenner	Year 9	3979
Fenner	Year 10	14830
Fenner	Year 11	6069
Fenner	Year 12	91325
No usual address (ACT)	Year 8	11
No usual address (ACT)	Year 9	23
No usual address (ACT)	Year 10	94
No usual address (ACT)	Year 11	44
No usual address (ACT)	Year 12	253
No usual address (OT)	Year 12	3
