CED_NAME21	Age.min	persons
Fowler	28	2470
Fowler	29	2430
Fowler	30	2409
Fowler	31	2542
Fowler	32	2450
Fowler	33	2379
Fowler	34	2273
Fowler	35	2272
Fowler	36	2260
Fowler	37	2291
Fowler	38	2314
Fowler	39	2280
Fowler	40	2238
Fowler	41	2134
Fowler	42	2111
Fowler	43	2074
Fowler	44	2093
Fowler	45	2212
Fowler	46	2114
Fowler	47	2161
Fowler	48	2282
Fowler	49	2206
Fowler	50	2339
Fowler	51	2265
Fowler	52	2215
Fowler	53	2185
Fowler	54	2156
Fowler	55	2158
Fowler	56	2223
Fowler	57	2271
Fowler	58	2364
Fowler	59	2232
Fowler	60	2290
Fowler	61	2260
Fowler	62	2144
Fowler	63	2200
Fowler	64	2106
Fowler	65	1964
Fowler	66	1885
Fowler	67	1843
Fowler	68	1704
Fowler	69	1549
Fowler	70	1574
Fowler	71	1528
Fowler	72	1477
Fowler	73	1368
Fowler	74	1207
Fowler	75	1090
Fowler	76	940
Fowler	77	865
Fowler	78	899
Fowler	79	783
Fowler	80	3301
Fowler	85	2103
Fowler	90	1095
Fowler	95	291
Fowler	100	37
Gilmore	0	1491
Gilmore	1	1594
Gilmore	2	1531
Gilmore	3	1627
Gilmore	4	1658
Gilmore	5	1698
Gilmore	6	1717
Gilmore	7	1686
Gilmore	8	1769
Gilmore	9	1780
Gilmore	10	1764
Gilmore	11	1850
Gilmore	12	1783
Gilmore	13	1865
Gilmore	14	1873
Gilmore	15	1844
Gilmore	16	1740
Gilmore	17	1698
Gilmore	18	1531
Gilmore	19	1460
Gilmore	20	1377
Gilmore	21	1358
Gilmore	22	1350
Gilmore	23	1388
Gilmore	24	1369
Gilmore	25	1407
Gilmore	26	1519
Gilmore	27	1499
Gilmore	28	1566
Gilmore	29	1589
Gilmore	30	1623
Gilmore	31	1545
Gilmore	32	1526
Gilmore	33	1677
Gilmore	34	1644
Gilmore	35	1636
Gilmore	36	1600
Gilmore	37	1703
Gilmore	38	1716
Gilmore	39	1693
Gilmore	40	1675
Gilmore	41	1638
Gilmore	42	1538
Gilmore	43	1627
Gilmore	44	1632
Gilmore	45	1684
Gilmore	46	1675
Gilmore	47	1844
Gilmore	48	1856
Gilmore	49	2043
Gilmore	50	2155
Gilmore	51	1909
Gilmore	52	1904
Gilmore	53	1963
Gilmore	54	1902
Gilmore	55	1987
Gilmore	56	2106
Gilmore	57	2245
Gilmore	58	2496
Gilmore	59	2555
Gilmore	60	2657
Gilmore	61	2724
Gilmore	62	2754
Gilmore	63	2781
Gilmore	64	2673
Gilmore	65	2758
Gilmore	66	2707
Gilmore	67	2672
Gilmore	68	2844
Gilmore	69	2740
Gilmore	70	2601
Gilmore	71	2577
Gilmore	72	2497
Gilmore	73	2532
Gilmore	74	2684
Gilmore	75	2012
Gilmore	76	2010
Gilmore	77	1937
Gilmore	78	1645
