LGA_NAME16	Age	MaritalStatus	Sex	responses
Bland	65-74	Divorced	F	36
Bland	65-74	Divorced	M	50
Bland	65-74	Married	F	209
Bland	65-74	Married	M	236
Bland	65-74	Separated	F	16
Bland	65-74	Separated	M	15
Bland	65-74	Widowed	F	57
Bland	65-74	Widowed	M	19
Bland	75-84	Divorced	F	12
Bland	75-84	Divorced	M	16
Bland	75-84	Married	F	95
Bland	75-84	Married	M	132
Bland	75-84	Separated	M	4
Bland	75-84	Widowed	F	98
Bland	75-84	Widowed	M	34
Bland	85+	Married	F	23
Bland	85+	Married	M	38
Bland	85+	Widowed	F	86
Bland	85+	Widowed	M	23
Blayney	20-24	Married	F	6
Blayney	20-24	Married	M	6
Blayney	25-34	Divorced	F	6
Blayney	25-34	Divorced	M	8
Blayney	25-34	Married	F	172
Blayney	25-34	Married	M	143
Blayney	25-34	Separated	F	4
Blayney	25-34	Separated	M	5
Blayney	35-44	Divorced	F	29
Blayney	35-44	Divorced	M	19
Blayney	35-44	Married	F	257
Blayney	35-44	Married	M	215
Blayney	35-44	Separated	F	16
Blayney	35-44	Separated	M	9
Blayney	45-54	Divorced	F	73
Blayney	45-54	Divorced	M	63
Blayney	45-54	Married	F	331
Blayney	45-54	Married	M	290
Blayney	45-54	Separated	F	25
Blayney	45-54	Separated	M	23
Blayney	45-54	Widowed	F	10
Blayney	45-54	Widowed	M	10
Blayney	55-64	Divorced	F	103
Blayney	55-64	Divorced	M	85
Blayney	55-64	Married	F	344
Blayney	55-64	Married	M	334
Blayney	55-64	Separated	F	33
Blayney	55-64	Separated	M	38
Blayney	55-64	Widowed	F	28
Blayney	55-64	Widowed	M	5
Blayney	65-74	Divorced	F	75
Blayney	65-74	Divorced	M	70
Blayney	65-74	Married	F	243
Blayney	65-74	Married	M	300
Blayney	65-74	Separated	F	15
Blayney	65-74	Separated	M	18
Blayney	65-74	Widowed	F	55
Blayney	65-74	Widowed	M	19
Blayney	75-84	Divorced	F	24
Blayney	75-84	Divorced	M	29
Blayney	75-84	Married	F	110
Blayney	75-84	Married	M	159
Blayney	75-84	Separated	F	6
Blayney	75-84	Separated	M	6
Blayney	75-84	Widowed	F	94
Blayney	75-84	Widowed	M	33
Blayney	85+	Divorced	F	8
Blayney	85+	Divorced	M	5
Blayney	85+	Married	F	20
Blayney	85+	Married	M	36
Blayney	85+	Separated	M	6
Blayney	85+	Widowed	F	64
