LGA_NAME21	Age5yr	ChildrenEverBorn	females
Berrigan	50-54	0	29
Berrigan	50-54	1	19
Berrigan	50-54	2	82
Berrigan	50-54	3	50
Berrigan	50-54	4	21
Berrigan	50-54	5	16
Berrigan	50-54	6	4
Berrigan	55-59		18
Berrigan	55-59	0	26
Berrigan	55-59	1	27
Berrigan	55-59	2	81
Berrigan	55-59	3	65
Berrigan	55-59	4	37
Berrigan	55-59	5	10
Berrigan	55-59	6	4
Berrigan	60-64		39
Berrigan	60-64	0	39
Berrigan	60-64	1	29
Berrigan	60-64	2	106
Berrigan	60-64	3	109
Berrigan	60-64	4	53
Berrigan	60-64	5	12
Berrigan	60-64	6	10
Berrigan	65-69		34
Berrigan	65-69	0	31
Berrigan	65-69	1	21
Berrigan	65-69	2	114
Berrigan	65-69	3	104
Berrigan	65-69	4	43
Berrigan	65-69	5	17
Berrigan	65-69	6	8
Berrigan	70-74		56
Berrigan	70-74	0	26
Berrigan	70-74	1	28
Berrigan	70-74	2	119
Berrigan	70-74	3	94
Berrigan	70-74	4	52
Berrigan	70-74	5	12
Berrigan	70-74	6	4
Berrigan	75-79		32
Berrigan	75-79	0	17
Berrigan	75-79	1	16
Berrigan	75-79	2	71
Berrigan	75-79	3	58
Berrigan	75-79	4	45
Berrigan	75-79	5	12
Berrigan	75-79	6	11
Berrigan	80-84		36
Berrigan	80-84	0	12
Berrigan	80-84	1	6
Berrigan	80-84	2	37
